,recomm,words,words_Update
川北凉粉,2811,川北-凉粉,川北-凉粉
澳门胡椒猪骨煲,2792,澳门-胡椒-猪骨煲,澳门-胡椒-猪骨煲
蜜汁梅肉,2773,蜜汁-梅肉,蜜汁-梅肉
干酪鱼,2755,干酪-鱼,干酪-鱼
酸汤鱼,2753,酸-汤鱼,酸-汤-鱼
砂锅白肉,2743,砂锅-白肉,砂锅-白肉
肉夹馍,2737,肉夹馍,肉夹馍
担担面,2723,担担面,担担面
法式蜗牛汤,2718,法式-蜗牛-汤,法式-蜗牛-汤
鲅鱼水饺,2687,鲅鱼-水饺,鲅鱼-水饺
猫耳朵,2646,猫-耳朵,猫-耳朵
东北大拉皮,2645,东北-大-拉皮,东北-大-拉皮
霸王蛙,2633,霸王-蛙,霸王-蛙
乾隆白菜,2624,乾隆-白菜,乾隆-白菜
宫保虾球,2619,宫保-虾球,宫保-虾球
汽锅鸡,2587,汽锅-鸡,汽锅-鸡
烧饼,2577,烧饼,烧饼
小龙虾,2570,小龙虾,小龙虾
清炒河虾仁,2561,清炒-河-虾仁,清炒-河-虾仁
莜面,2559,莜面,莜面
民国美龄粥,2512,民国-美龄-粥,民国-美龄-粥
千层肚,2482,千层-肚,千层-肚
鲜鸭血,2481,鲜鸭血,鲜鸭血
鱼头诱惑,2463,鱼头-诱惑,鱼头-诱惑
黑米八宝粥,2451,黑米-八宝粥,黑米-八宝粥
佛跳墙,2407,佛跳墙,佛跳墙
生煎包,2405,生煎包,生煎包
金牌烤蛏,2405,金牌-烤-蛏,金牌-烤-蛏
面筋,2397,面筋,面筋
蜂蜜厚多士配雪糕,2393,蜂蜜-厚多士配-雪糕,蜂蜜-厚多士配-雪糕
窑烤蜜汁梅肉,2385,窑-烤-蜜汁-梅肉,窑-烤-蜜汁-梅肉
九转大肠,2357,九转-大肠,九转-大肠
石锅沸腾饭,2340,石锅-沸腾-饭,石锅-沸腾-饭
火锅,2331,火锅,火锅
牛仔骨,2326,牛仔-骨,牛仔-骨
奶香手撕饼,2309,奶香手-撕饼,奶香手-撕饼
猪肚鸡,2284,猪肚-鸡,猪肚-鸡
蒜香面包,2275,蒜-香-面包,蒜-香-面包
虾仁馅饼,2274,虾仁-馅饼,虾仁-馅饼
五花肉,2265,五花肉,五花肉
炖汤,2249,炖汤,炖汤
刺身,2234,刺身,刺身
大饼卷牛肉,2226,大饼-卷-牛肉,大饼-卷-牛肉
石锅蛙,2225,石锅-蛙,石锅-蛙
鸭肠,2225,鸭肠,鸭肠
沙姜鸡,2206,沙姜鸡,沙姜鸡
豉油皇鹅肠,2200,豉油-皇鹅肠,豉油-皇鹅肠
鹅肠,2197,鹅肠,鹅肠
牛肉丸,2187,牛肉丸,牛肉丸
爆炒腰花,2186,爆-炒腰花,爆炒-腰花
十三香龙虾,2178,十三-香-龙虾,十三香-龙虾
素鲍鱼,2177,素-鲍鱼,素-鲍鱼
梨球果仁虾,2139,梨球-果仁-虾,梨球-果仁-虾
文昌鸡,2137,文昌鸡,文昌鸡
老妈蹄花,2133,老妈-蹄花,老妈-蹄花
鲅鱼饺子,2131,鲅鱼-饺子,鲅鱼-饺子
贝勒烤肉,2110,贝勒-烤肉,贝勒-烤肉
鱼蛋粉,2110,鱼-蛋粉,鱼蛋粉
小笼,2108,小笼,小笼
花家白菜,2108,花家-白菜,花家-白菜
生煎,2097,生-煎,生煎
蟹粉小笼,2095,蟹粉-小笼,蟹粉-小笼
蒜香排骨,2085,蒜-香-排骨,蒜香-排骨
闷骚南瓜,2075,闷骚-南瓜,闷骚-南瓜
嫩牛肉,2073,嫩-牛肉,嫩-牛肉
宋嫂鱼羹,2071,宋嫂-鱼-羹,宋嫂-鱼-羹
霸王鸡,2067,霸王-鸡,霸王-鸡
牛蛙,2057,牛蛙,牛蛙
五香兔头,2041,五香-兔头,五香-兔头
酥皮鱼翅汤,2029,酥皮-鱼翅-汤,酥皮-鱼翅-汤
黑森林蛋糕,2024,黑森林-蛋糕,黑森林-蛋糕
辣炒蛤蜊,2023,辣-炒-蛤蜊,辣-炒-蛤蜊
黑椒牛仔骨,2022,黑椒-牛仔-骨,黑椒-牛仔-骨
牛眼粒,2018,牛眼粒,牛眼粒
海瓜子,2015,海瓜子,海瓜子
东坡肘子,1987,东坡-肘子,东坡-肘子
八珍豆腐,1982,八珍-豆腐,八珍-豆腐
豌豆黄,1975,豌豆黄,豌豆黄
鱼香肉丝,1971,鱼香肉丝,鱼香肉丝
世宁土豆泥,1964,世宁-土豆泥,世宁-土豆泥
鸡丝凉面,1955,鸡丝-凉面,鸡丝-凉面
葱烧海参,1954,葱烧-海参,葱烧-海参
叫化鸡,1947,叫化-鸡,叫化-鸡
虾茸草菇白菜,1939,虾-茸-草菇-白菜,虾茸-草菇-白菜
酥皮虾,1923,酥皮-虾,酥皮-虾
八味豆腐,1891,八味-豆腐,八味-豆腐
花雕鸡,1889,花雕-鸡,花雕-鸡
西杏炸虾卷,1882,西杏炸-虾-卷,西杏炸-虾-卷
咖喱皇炒虾,1881,咖喱-皇-炒-虾,咖喱-炒-虾
烤牛舌,1879,烤-牛舌,烤-牛舌
酱排骨,1871,酱-排骨,酱-排骨
老爆三,1865,老爆-三,老爆-三
青豆泥,1859,青豆-泥,青豆-泥
猪颈肉,1855,猪颈肉,猪颈肉
上酱肥牛配土豆泥,1849,上酱-肥牛-配-土豆泥,上酱-肥牛-配-土豆泥
奶黄包,1840,奶黄包,奶黄包
